Feature,Importance
month,0.9914888164383392
year,0.008511183561660796
consecutive_dry_days,0.0
dry_day,0.0
rolling_30d_wind,0.0
rolling_14d_wind,0.0
rolling_7d_wind,0.0
rolling_30d_min_temp,0.0
rolling_30d_max_temp,0.0
dayofyear_sin,0.0
rolling_14d_max_temp,0.0
rolling_7d_min_temp,0.0
rolling_7d_max_temp,0.0
rolling_30d_precip,0.0
rolling_14d_precip,0.0
rolling_7d_precip,0.0
dayofyear_cos,0.0
rolling_14d_min_temp,0.0
month_cos,0.0
month_sin,0.0
DayOfYear,0.0
Month,0.0
DAY_OF_YEAR,0.0
LAGGED_AVG_WIND_SPEED,0.0
LAGGED_PRECIPITATION,0.0
MONTH,0.0
WIND_TEMP_RATIO,0.0
TEMP_RANGE,0.0
YEAR,0.0
FIRE_START_DAY,0.0
AVG_WIND_SPEED,0.0
MIN_TEMP,0.0
MAX_TEMP,0.0
PRECIPITATION,0.0
fire_danger_index,0.0
